Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS14_5yr_C17002001,ACS14_5yr_C17002002,ACS14_5yr_C17002003,ACS14_5yr_C17002004,ACS14_5yr_C17002005,ACS14_5yr_C17002006,ACS14_5yr_C17002007,ACS14_5yr_C17002008,ACS14_5yr_C17002001s,ACS14_5yr_C17002002s,ACS14_5yr_C17002003s,ACS14_5yr_C17002004s,ACS14_5yr_C17002005s,ACS14_5yr_C17002006s,ACS14_5yr_C17002007s,ACS14_5yr_C17002008s
"06075022801","14000US06075022801","Census Tract 228.01, San Francisco County, California","Census Tract 228.01, San Francisco County, California","ca","140","00","ACSSF","0009075",,,,,"06","075",,,,"022801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955,190,400,180,460,226,0,3499,250.90909090909,120,121.818181818181,113.333333333333,193.333333333333,76.9696969696969,7.27272727272727,216.363636363636
"06075022802","14000US06075022802","Census Tract 228.02, San Francisco County, California","Census Tract 228.02, San Francisco County, California","ca","140","00","ACSSF","0009076",,,,,"06","075",,,,"022802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855,132,330,202,86,69,24,1012,160,33.9393939393939,125.454545454545,99.3939393939394,56.9696969696969,35.7575757575757,20.6060606060606,127.272727272727
"06075022803","14000US06075022803","Census Tract 228.03, San Francisco County, California","Census Tract 228.03, San Francisco County, California","ca","140","00","ACSSF","0009077",,,,,"06","075",,,,"022803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4894,387,249,177,107,481,276,3217,312.727272727272,129.090909090909,91.5151515151515,84.2424242424242,66.060606060606,113.939393939393,119.393939393939,278.181818181818
"06075022901","14000US06075022901","Census Tract 229.01, San Francisco County, California","Census Tract 229.01, San Francisco County, California","ca","140","00","ACSSF","0009078",,,,,"06","075",,,,"022901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024,353,534,160,438,580,57,2902,341.212121212121,104.848484848484,164.848484848484,64.8484848484848,267.272727272727,164.242424242424,36.3636363636363,363.636363636363
"06075022902","14000US06075022902","Census Tract 229.02, San Francisco County, California","Census Tract 229.02, San Francisco County, California","ca","140","00","ACSSF","0009079",,,,,"06","075",,,,"022902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,167,225,79,4,96,67,1822,170.90909090909,42.4242424242424,81.2121212121212,40.6060606060606,4.84848484848484,48.4848484848484,42.4242424242424,137.575757575757
"06075022903","14000US06075022903","Census Tract 229.03, San Francisco County, California","Census Tract 229.03, San Francisco County, California","ca","140","00","ACSSF","0009080",,,,,"06","075",,,,"022903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3065,201,407,131,28,155,51,2092,257.575757575757,66.060606060606,151.515151515151,67.8787878787878,20,61.2121212121212,24.2424242424242,184.848484848484
"06075023001","14000US06075023001","Census Tract 230.01, San Francisco County, California","Census Tract 230.01, San Francisco County, California","ca","140","00","ACSSF","0009081",,,,,"06","075",,,,"023001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4821,256,862,259,231,488,298,2427,267.272727272727,75.7575757575757,270.90909090909,144.242424242424,95.7575757575757,174.545454545454,153.939393939393,227.272727272727
"06075023003","14000US06075023003","Census Tract 230.03, San Francisco County, California","Census Tract 230.03, San Francisco County, California","ca","140","00","ACSSF","0009082",,,,,"06","075",,,,"023003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4337,214,288,167,164,125,8,3371,302.424242424242,90.9090909090909,154.545454545454,101.818181818181,71.5151515151515,75.7575757575757,20.6060606060606,270.90909090909
"06075023102","14000US06075023102","Census Tract 231.02, San Francisco County, California","Census Tract 231.02, San Francisco County, California","ca","140","00","ACSSF","0009083",,,,,"06","075",,,,"023102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4870,836,1078,279,186,373,177,1941,275.757575757575,238.181818181818,271.515151515151,165.454545454545,87.8787878787879,137.575757575757,120.60606060606,260
"06075023103","14000US06075023103","Census Tract 231.03, San Francisco County, California","Census Tract 231.03, San Francisco County, California","ca","140","00","ACSSF","0009084",,,,,"06","075",,,,"023103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2934,859,538,519,327,74,148,469,186.666666666666,206.666666666666,182.424242424242,233.333333333333,111.515151515151,50.3030303030303,84.2424242424242,112.121212121212
