Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS09_5yr_C17002001,ACS09_5yr_C17002002,ACS09_5yr_C17002003,ACS09_5yr_C17002004,ACS09_5yr_C17002005,ACS09_5yr_C17002006,ACS09_5yr_C17002007,ACS09_5yr_C17002008,ACS09_5yr_C17002001s,ACS09_5yr_C17002002s,ACS09_5yr_C17002003s,ACS09_5yr_C17002004s,ACS09_5yr_C17002005s,ACS09_5yr_C17002006s,ACS09_5yr_C17002007s,ACS09_5yr_C17002008s
"06075033201","14000US06075033201","Census Tract 332.01, San Francisco County, California","Census Tract 332.01, San Francisco County, California","ca","140","00","ACSSF","0018936",,,,,"06","075",,,,"033201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,709,201,26,166,36,0,1158,175.151515151515,169.696969696969,50.3030303030303,24.8484848484848,46.6666666666666,21.2121212121212,80,174.545454545454
"06075033202","14000US06075033202","Census Tract 332.02, San Francisco County, California","Census Tract 332.02, San Francisco County, California","ca","140","00","ACSSF","0018937",,,,,"06","075",,,,"033202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5952,781,513,392,168,392,148,3558,439.393939393939,163.030303030303,192.121212121212,133.333333333333,61.2121212121212,155.757575757575,66.060606060606,381.818181818181
"06075035100","14000US06075035100","Census Tract 351, San Francisco County, California","Census Tract 351, San Francisco County, California","ca","140","00","ACSSF","0018938",,,,,"06","075",,,,"035100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240,208,176,614,246,451,111,6434,452.121212121212,85.4545454545454,61.2121212121212,310.90909090909,93.9393939393939,151.515151515151,62.4242424242424,396.969696969697
"06075035201","14000US06075035201","Census Tract 352.01, San Francisco County, California","Census Tract 352.01, San Francisco County, California","ca","140","00","ACSSF","0018939",,,,,"06","075",,,,"035201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266,177,191,214,195,462,11,4016,261.818181818181,71.5151515151515,75.1515151515151,106.060606060606,103.030303030303,149.696969696969,10.3030303030303,303.030303030303
"06075035202","14000US06075035202","Census Tract 352.02, San Francisco County, California","Census Tract 352.02, San Francisco County, California","ca","140","00","ACSSF","0018940",,,,,"06","075",,,,"035202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4667,120,188,246,240,295,189,3389,220.60606060606,45.4545454545454,76.9696969696969,115.757575757575,103.636363636363,104.848484848484,115.151515151515,249.696969696969
"06075035300","14000US06075035300","Census Tract 353, San Francisco County, California","Census Tract 353, San Francisco County, California","ca","140","00","ACSSF","0018941",,,,,"06","075",,,,"035300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7227,386,252,358,175,509,61,5486,333.333333333333,168.484848484848,98.7878787878788,232.727272727272,100.60606060606,209.090909090909,46.6666666666666,404.848484848484
"06075035400","14000US06075035400","Census Tract 354, San Francisco County, California","Census Tract 354, San Francisco County, California","ca","140","00","ACSSF","0018942",,,,,"06","075",,,,"035400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6876,65,769,236,334,175,358,4939,335.151515151515,40.6060606060606,297.575757575757,166.666666666666,190.90909090909,73.9393939393939,223.030303030303,432.727272727272
"06075040100","14000US06075040100","Census Tract 401, San Francisco County, California","Census Tract 401, San Francisco County, California","ca","140","00","ACSSF","0018943",,,,,"06","075",,,,"040100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585,421,297,161,261,214,25,3206,391.515151515151,234.545454545454,116.363636363636,65.4545454545454,89.0909090909091,84.8484848484848,18.1818181818181,252.727272727272
"06075040200","14000US06075040200","Census Tract 402, San Francisco County, California","Census Tract 402, San Francisco County, California","ca","140","00","ACSSF","0018944",,,,,"06","075",,,,"040200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5388,223,430,125,126,143,189,4152,314.545454545454,76.3636363636363,172.121212121212,67.8787878787878,86.060606060606,54.5454545454545,113.939393939393,324.242424242424
"06075042600","14000US06075042600","Census Tract 426, San Francisco County, California","Census Tract 426, San Francisco County, California","ca","140","00","ACSSF","0018945",,,,,"06","075",,,,"042600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7595,169,871,73,25,255,27,6175,460.60606060606,80.6060606060606,303.030303030303,32.7272727272727,20,95.1515151515151,17.5757575757575,487.878787878788
