X,Y,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,PdId
-122.421550176461011,37.762130724761086,160092036,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Sunday,01/31/2016,21:00,MISSION,NONE,600 Block of VALENCIA ST,16009203627090.000000000000000
-122.480452050118998,37.780279050566385,160094333,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/31/2016,21:00,RICHMOND,NONE,21ST AV / GEARY BL,16009433307021.000000000000000
-122.431930567825006,37.800246285429893,160091878,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,01/31/2016,20:56,NORTHERN,NONE,1800 Block of LOMBARD ST,16009187828100.000000000000000
-122.405493118566,37.783587946532379,160091793,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,01/31/2016,20:50,SOUTHERN,"ARREST, BOOKED",800 Block of MISSION ST,16009179362050.000000000000000
-122.405493118566,37.783587946532379,160091793,WARRANTS,WARRANT ARREST,Sunday,01/31/2016,20:50,SOUTHERN,"ARREST, BOOKED",800 Block of MISSION ST,16009179363010.000000000000000
-122.407871572784003,37.798696274299701,160091709,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,01/31/2016,20:47,CENTRAL,"ARREST, BOOKED",COLUMBUS AV / VALLEJO ST,16009170965016.000000000000000
-122.409529913277993,37.7657184395282,160091981,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:30,MISSION,NONE,2300 Block of 16TH ST,16009198106242.000000000000000
-122.40122791461998,37.751315750279502,160092525,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/31/2016,20:30,BAYVIEW,NONE,1400 Block of RHODEISLAND ST,16009252507025.000000000000000
-122.407152172242007,37.790365579539802,160093573,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:00,CENTRAL,NONE,STOCKTON ST / BUSH ST,16009357306244.000000000000000
-122.400488130753999,37.795876322309702,160092086,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:00,CENTRAL,NONE,WASHINGTON ST / BATTERY ST,16009208606243.000000000000000
-122.44348693975202,37.769970375835285,166026281,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:00,PARK,NONE,0 Block of CENTRAL AV,16602628106244.000000000000000
-122.396381836885013,37.781749223522596,160092503,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:00,SOUTHERN,NONE,3RD ST / STILLMAN ST,16009250306244.000000000000000
-122.396775468319007,37.764473990046902,160097973,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/31/2016,20:00,BAYVIEW,NONE,100 Block of MISSOURI ST,16009797307025.000000000000000
-122.435961978472989,37.799416883269487,166026178,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,20:00,NORTHERN,NONE,FILLMORE ST / MOULTON ST,16602617806244.000000000000000
-122.39690076115599,37.717647436959695,160093266,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,01/31/2016,20:00,BAYVIEW,NONE,800 Block of MEADE AV,16009326628150.000000000000000
-122.415525556609012,37.76947007180069,160091602,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,01/31/2016,20:00,MISSION,NONE,1700 Block of FOLSOM ST,16009160203014.000000000000000
-122.422963001902005,37.789251361778994,166026203,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,01/31/2016,20:00,NORTHERN,NONE,1600 Block of PINE ST,16602620306224.000000000000000
-122.413160850970002,37.7774566611807,166034632,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,01/31/2016,19:57,SOUTHERN,NONE,8TH ST / MISSION ST,16603463206224.000000000000000
-122.483417995949011,37.762333153247994,160091624,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,01/31/2016,19:52,TARAVAL,NONE,1300 Block of 25TH AV,16009162464020.000000000000000
-122.424467467669999,37.736060475732593,160091599,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,01/31/2016,19:40,INGLESIDE,NONE,RICHLAND AV / MISSION ST,16009159964020.000000000000000
-122.41132451902601,37.806804272619289,166041405,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:34,CENTRAL,NONE,200 Block of NORTHPOINT ST,16604140506244.000000000000000
-122.432680942925998,37.782821449013994,160091771,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016,19:30,NORTHERN,NONE,1400 Block of FILLMORE ST,16009177172000.000000000000000
-122.425883358148013,37.78707981444429,166026162,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,01/31/2016,19:30,NORTHERN,NONE,1500 Block of SUTTER ST,16602616206224.000000000000000
-122.447241159610996,37.720157797125495,160142807,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:30,INGLESIDE,NONE,2300 Block of SAN JOSE AV,16014280706241.000000000000000
-122.437850882557981,37.783717433380296,166028083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:30,PARK,NONE,GEARY BL / SCOTT ST,16602808306244.000000000000000
-122.474078305156013,37.7496509883741,166026037,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:30,TARAVAL,NONE,2000 Block of 17TH AV,16602603706244.000000000000000
-122.432680942925998,37.782821449013994,160091771,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:30,NORTHERN,NONE,1400 Block of FILLMORE ST,16009177106244.000000000000000
-122.433206040832999,37.7646229857016,160091561,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Sunday,01/31/2016,19:28,PARK,NONE,200 Block of NOE ST,16009156115161.000000000000000
-122.423156806774003,37.790208825565202,160091533,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,01/31/2016,19:28,NORTHERN,NONE,1700 Block of CALIFORNIA ST,16009153306361.000000000000000
-122.401560967513007,37.7840888680389,160091721,NON-CRIMINAL,LOST PROPERTY,Sunday,01/31/2016,19:15,SOUTHERN,UNFOUNDED,700 Block of HOWARD ST,16009172171000.000000000000000
-122.401560967513007,37.7840888680389,160091721,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016,19:15,SOUTHERN,UNFOUNDED,700 Block of HOWARD ST,16009172172000.000000000000000
-122.492899811145008,37.77309036408159,160091527,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,01/31/2016,19:10,RICHMOND,NONE,800 Block of 33RD AV,16009152764020.000000000000000
-122.388379873918993,37.783310406701496,160091486,WARRANTS,WARRANT ARREST,Sunday,01/31/2016,19:08,SOUTHERN,"ARREST, BOOKED",0 Block of THE EMBARCADERONORTH ST,16009148663010.000000000000000
-122.403390364795996,37.7802655777189,166031008,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,01/31/2016,19:00,SOUTHERN,NONE,FOLSOM ST / 5TH ST,16603100806374.000000000000000
-122.395260522807007,37.781703486779591,166030345,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,01/31/2016,19:00,SOUTHERN,NONE,400 Block of BRYANT ST,16603034506224.000000000000000
-122.431206932079007,37.784568117033587,160091765,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,19:00,NORTHERN,NONE,WEBSTER ST / GEARY BL,16009176506244.000000000000000
-122.380348349698977,37.728827625186391,160091931,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,01/31/2016,19:00,BAYVIEW,NONE,1000 Block of OAKDALE AV,16009193128100.000000000000000
-122.410509258795017,37.786043222299206,160107328,NON-CRIMINAL,LOST PROPERTY,Sunday,01/31/2016,19:00,TENDERLOIN,NONE,300 Block of OFARRELL ST,16010732871000.000000000000000
-122.422310623627993,37.76927857757331,160092973,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/31/2016,19:00,MISSION,NONE,CLINTONPARK ST / VALENCIA ST,16009297307021.000000000000000
-122.388379873918993,37.783310406701496,160091646,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,01/31/2016,18:58,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,16009164664085.000000000000000
-122.387939452191986,37.742260051955498,160091395,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01/31/2016,18:50,BAYVIEW,"ARREST, BOOKED",3800 Block of 3RD ST,16009139565010.000000000000000
-122.401658663476013,37.784166688216089,160091420,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,01/31/2016,18:45,SOUTHERN,NONE,700 Block of HOWARD ST,16009142006304.000000000000000
-122.466427961912999,37.780923096402802,166026441,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,18:45,RICHMOND,NONE,GEARY BL / 8TH AV,16602644106244.000000000000000
-122.437560331650005,37.719649884598894,160091373,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,01/31/2016,18:35,INGLESIDE,"ARREST, BOOKED",FRANCE AV / LONDON ST,16009137365015.000000000000000
-122.40157485541998,37.726141664944983,166033913,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,18:35,BAYVIEW,NONE,1400 Block of BAY SHORE BL,16603391306244.000000000000000
-122.412596970636997,37.781119212154195,160091464,ASSAULT,BATTERY,Sunday,01/31/2016,18:34,TENDERLOIN,NONE,0 Block of MCALLISTER ST,16009146404134.000000000000000
-122.412596970636997,37.781119212154195,160091464,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,01/31/2016,18:34,TENDERLOIN,NONE,0 Block of MCALLISTER ST,16009146428160.000000000000000
-122.392347671978015,37.78906035559929,160091925,VANDALISM,"VANDALISM OR GRAFFITI TOOLS, POSSESSION",Sunday,01/31/2016,18:34,SOUTHERN,NONE,200 Block of FOLSOM ST,16009192528166.000000000000000
-122.42917887616801,37.774182253014281,160091414,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,01/31/2016,18:33,NORTHERN,UNFOUNDED,WEBSTER ST / OAK ST,16009141464085.000000000000000
-122.425514575394999,37.772734103109293,166026924,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,01/31/2016,18:30,NORTHERN,NONE,LAGUNA ST / HAIGHT ST,16602692406374.000000000000000
-122.475647460786021,37.728528062746491,160091715,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,01/31/2016,18:29,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,16009171506363.000000000000000
-122.392347671978015,37.78906035559929,160091549,TRESPASS,TRESPASSING,Sunday,01/31/2016,18:26,SOUTHERN,"ARREST, BOOKED",200 Block of FOLSOM ST,16009154927195.000000000000000
-122.501268556436983,37.747478166527195,166042453,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,01/31/2016,18:13,TARAVAL,NONE,3300 Block of QUINTARA ST,16604245306374.000000000000000
-122.410534621363993,37.800615621368706,160091408,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,01/31/2016,18:10,CENTRAL,"ARREST, BOOKED",600 Block of COLUMBUS AV,16009140804013.000000000000000
-122.410534621363993,37.800615621368706,160091408,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,01/31/2016,18:10,CENTRAL,"ARREST, BOOKED",600 Block of COLUMBUS AV,16009140862050.000000000000000
-122.389865610331995,37.737169944620298,160091260,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,01/31/2016,18:06,BAYVIEW,"ARREST, BOOKED",3RD ST / LASALLE AV,16009126065016.000000000000000
-122.406690592261,37.785207191841906,160098846,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,01/31/2016,18:05,SOUTHERN,NONE,800 Block of MARKET ST,16009884606362.000000000000000
-122.467626105696013,37.781819339313998,160094775,MISSING PERSON,MISSING ADULT,Sunday,01/31/2016,18:00,RICHMOND,NONE,300 Block of 9TH AV,16009477574000.000000000000000
-122.452839772388998,37.774514538085405,160093410,MISSING PERSON,FOUND PERSON,Sunday,01/31/2016,18:00,PARK,NONE,0 Block of SHRADER ST,16009341075000.000000000000000
-122.414635954342003,37.806501229112996,166025960,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,18:00,CENTRAL,NONE,400 Block of NORTHPOINT ST,16602596006244.000000000000000
-122.439283127439992,37.802751530519785,160092901,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/31/2016,18:00,NORTHERN,NONE,0 Block of CAPRA WY,16009290107021.000000000000000
-122.434883670142,37.798177828573493,160104067,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,01/31/2016,18:00,NORTHERN,NONE,2100 Block of FILBERT ST,16010406761030.000000000000000
-122.452839772388998,37.774514538085405,160093410,MISSING PERSON,MISSING ADULT,Sunday,01/31/2016,18:00,PARK,NONE,0 Block of SHRADER ST,16009341074000.000000000000000
-122.414433155062994,37.784657632925587,160095507,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,01/31/2016,18:00,TENDERLOIN,NONE,ELLIS ST / LEAVENWORTH ST,16009550706154.000000000000000
-122.395251009931016,37.755344351956808,160095347,MISSING PERSON,MISSING ADULT,Sunday,01/31/2016,18:00,BAYVIEW,NONE,0 Block of WATCHMAN WY,16009534774000.000000000000000
-122.395251009931016,37.755344351956808,160095325,MISSING PERSON,MISSING JUVENILE,Sunday,01/31/2016,18:00,BAYVIEW,NONE,0 Block of WATCHMAN WY,16009532574010.000000000000000
-122.379417852372001,37.736274003943997,160094098,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,01/31/2016,18:00,BAYVIEW,NONE,WILLS ST / MIDDLEPOINT RD,16009409828160.000000000000000
-122.404934413338992,37.781498721321803,166032799,NON-CRIMINAL,LOST PROPERTY,Sunday,01/31/2016,18:00,SOUTHERN,NONE,5TH ST / HOWARD ST,16603279971000.000000000000000
-122.394757861452021,37.793172923738595,160091179,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,01/31/2016,17:56,SOUTHERN,NONE,0 Block of SPEAR ST,16009117964085.000000000000000
